row_id,user_post,state,city,provider,pred_sentiment,cluster_category,d_mbps,u_mbps,lat_ms,created_dt,tests,devices,sentiment_score
1,Astro in Alor Gajah is fairly priced for what they offer. Happy with it so far!,Melaka,Alor Gajah,Astro,Positive,Price,22.59,7.56,36.23,30/1/2024,390,116,0.98
2,The internet speed with TIME in Alor Gajah has been great. Works well for me.,Melaka,Alor Gajah,TIME,Positive,Speed,21.4,7.01,43.51,12/2/2024,349,116,0.99
3,TIME in Alor Gajah offers fast and reliable speeds. Pleased with the performance.,Melaka,Alor Gajah,TIME,Positive,Speed,18.51,9.96,34,9/3/2024,351,121,0.98
4,Using Maxis in Alor Gajah has been smooth. No issues with speed at all.,Melaka,Alor Gajah,Maxis,Positive,Speed,23.21,11.41,26.51,16/3/2024,334,50,0.95
5,"Unifi in Alor Gajah has raised prices, but the service quality hasnâ€™t improved. Feels like a rip-off.",Melaka,Alor Gajah,Unifi,Negative,Price,20.72,12.07,83.78,10/3/2024,336,251,0.98
6,"Astro in Alor Gajah has raised prices, but the service quality hasnâ€™t improved. Feels like a rip-off.",Melaka,Alor Gajah,Astro,Negative,Price,23.96,13.09,23.15,21/1/2024,245,58,0.98
7,The charges from Astro in Alor Gajah are absurd. Definitely not worth this price.,Melaka,Alor Gajah,Astro,Negative,Price,14.34,10.79,33,31/1/2024,510,211,0.97
8,"Iâ€™m paying too much for Unifi in Alor Gajah, especially given the quality of service provided.",Melaka,Alor Gajah,Unifi,Negative,Price,24.62,6.24,14,25/2/2024,410,142,0.91
9,"I thought Maxis in Alor Gajah would be affordable, but the cost is just ridiculous for this quality.",Melaka,Alor Gajah,Maxis,Negative,Price,18.99,7.5,24,15/3/2024,292,154,0.96
10,"Maxis in Alor Gajah offers services at a fair price, but I'm looking for better options.",Melaka,Alor Gajah,Maxis,Neutral,Price,17.56,11.2,44.969,5/1/2024,412,204,0.72
11,"""Astro's service is too unreliable; I can't rely on them during my children's important classes.""",Melaka,Alor Gajah,Astro,Negative,Coverage,16.63,10.06,32.12,11/1/2024,314,246,0.98
12,"""Maxis offers a solid internet connection; my online classes run smoothly.""",Melaka,Alor Gajah,Maxis,Positive,Coverage,24.32,5.93,60.925,18/1/2024,411,245,0.98
13,"""TIME's internet speed is impressive; we can upload and download large files easily.""",Melaka,Alor Gajah,TIME,Positive,Coverage,24.7,10.51,14.666,4/3/2024,312,120,0.98
14,"""Astro's internet connection is often slow; it impacts our online presentations.""",Melaka,Alor Gajah,Astro,Negative,Coverage,18.73,12.29,36.23,21/3/2024,302,146,0.9
15,"""Astro's service quality has declined recently; it affects our ability to host webinars.""",Melaka,Alor Gajah,Astro,Negative,Coverage,13.86,9.47,43.51,26/1/2024,270,67,0.97
16,"""TIME has provided excellent service for our business needs; we can operate without interruptions.""",Melaka,Alor Gajah,TIME,Positive,Coverage,17.12,11.11,34,5/3/2024,412,216,0.99
17,"""Astro's customer service in Alor Gajah is very slow; they take ages to respond to my queries.""",Melaka,Alor Gajah,Astro,Negative,Customer Service,21.81,9.74,26.51,24/2/2024,331,193,0.98
18,"""Astro in Alor Gajah is a total mess; itâ€™s frustrating trying to get help when thereâ€™s an issue!""",Melaka,Alor Gajah,Astro,Negative,Customer Service,13.83,5.34,83.78,26/2/2024,590,209,0.98
19,"""Astro's service in Alor Gajah is just frustrating; they never seem to pick up my calls for help!""",Melaka,Alor Gajah,Astro,Negative,Customer Service,18.09,7.28,20.15,1/3/2024,330,224,0.98
20,Maxis WiFi feels a bit unstable in Alor Gajah. Is anyone else noticing this?,Melaka,Alor Gajah,Maxis,Negative,Coverage,16.65,9.64,9.36,20/3/2024,752,189,0.88
21,"Maxis in Asajaya has great rates, and I feel like Iâ€™m getting my moneyâ€™s worth.",Sarawak,Asajaya,Maxis,Positive,Price,31.99,8.75,112.66,16/2/2024,10,5,0.99
22,Unifi in Asajaya has surprisingly good speeds. Satisfied so far!,Sarawak,Asajaya,Unifi,Positive,Speed,31.91,11.35,105.53,10/3/2024,10,8,0.99
23,"The pricing for Maxis in Asajaya is okay, not great but not terrible either.",Sarawak,Asajaya,Maxis,Neutral,Price,31.82,11.5,117.3,7/3/2024,3,2,0.54
24,"The pricing for Astro in Asajaya is acceptable, though I wish it offered more features.",Sarawak,Asajaya,Astro,Positive,Price,31.92,7.38,88.82,21/3/2024,9,8,0.76
25,"Honestly, Astro in Asajaya doesnâ€™t live up to the promised speeds. Itâ€™s way too slow.",Sarawak,Asajaya,Astro,Negative,Speed,31.71,9.13,110.62,16/3/2024,6,4,0.98
26,I expected better speeds from Unifi in Asajaya. Itâ€™s too slow for what I need.,Sarawak,Asajaya,Unifi,Negative,Speed,31.9,11.83,116.49,2/3/2024,9,1,0.97
27,The cost for Astro in Asajaya is just too high for what theyâ€™re delivering.,Sarawak,Asajaya,Astro,Negative,Price,31.74,12.8,99.87,9/1/2024,3,2,0.94
28,"Honestly, Maxis in Asajaya doesnâ€™t live up to the promised speeds. Itâ€™s way too slow.",Sarawak,Asajaya,Maxis,Negative,Speed,31.98,6.9,89.26,9/3/2024,15,3,0.98
