posts,location,label,provider,pred_sentiment,pred_sentiment_score,dirty_posts,cleaned_posts,state,city,avg_lat_ms,tests,devices,avg_d_mbps,avg_u_mbps,clusters,cluster_category,date_col
Unifi internet down at {Location}. Pls helppp.,Sepang,negative,unifi,negative,0.8662846088409424,"U&nifi internet dow;n at Se+p""ang. Pls hel|pp:p(.",Unifi internet down at Sepang Pls helppp,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,2,service interruptions,7/3/2024
Maxis internet at {Location} still down?,Klang,negative,maxis,negative,0.9302762746810913,Maxis i!nte^rnet at< Klang (still dow:n?#,Maxis internet at Klang still down,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,2,service interruptions,12/3/2024
Is there any reason why TIME internet in {Location} is slightly slower today?,Mersing,neutral,time,negative,0.8746300935745239,"Is there any reason why TIME intern_et; in M""e""r*sing is slightly slo%wer t""oday?",Is there any reason why TIME intern et in Mersing is slightly slower today,Johor,Mersing,35.71573604060914,1695,797,20.837700507614212,10.552010152284264,2,service interruptions,12/3/2024
Just checking if TM Unifi users in {Location} are seeing a slight drop in internet speeds lately.,Klang,neutral,unifi,neutral,0.7811492085456848,"Jus>t chec~king if| TM Un~ifi: users in Kla""ng a=r*e see>ing a sligh~t ~drop i]n internet speeds latel^y.#",Just checking if TM Unifi users in Klang are seeing a slight drop in internet speeds lately,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,1,slow speed,11/3/2024
TM Unifi seems to be fluctuating a bit in {Location}. Any maintenance going on?,Mersing,neutral,unifi,negative,0.6553330421447754,TM @U~nifi !s+eems to b]e( fluctuating a bi*t in} Mer&sing. Any maintenance g?oing on%?,TM Unifi seems to be fluctuating a bit in Mersing Any maintenance going on,Johor,Mersing,35.71573604060914,1695,797,20.837700507614212,10.552010152284264,1,slow speed,9/3/2024
TIME seems to be slower than normal today in {Location}. Anyone else facing the same?,Kuching,neutral,time,negative,0.8936956524848938,T~IME seems >to be sl?ower than normal t=oday% in Ku@c}h<ing. An~yon~e els}e facing the same?,TIME seems to be slower than normal today in Kuching Anyone else facing the same,Sarawak,Kuching,52.496757457846954,21270,9036,24.134033722438392,10.833608300907912,1,slow speed,12/3/2024
"TM Unifi speeds in {Location} seem to be slower than normal, nothing major but noticeable.",Kota Bharu,neutral,unifi,negative,0.9164047837257385,"TM Un:ifi spee|ds in K#ota Bharu s@eem %to be slowe^r( )th@an normal, not_hing m&ajor bu)t no{ticeable.",TM Unifi speeds in Kota Bharu seem to be slower than normal not hing major but noticeable,Kelantan,Kota Bharu,42.47592847317744,17343,7699,17.67919944979367,8.408158184,1,slow speed,11/3/2024
TIME connection in {Location} feels a bit weaker today. Is there some work happening on the network?,Muar,neutral,time,negative,0.9278416633605957,TIME c;onnection in _Mua_r feels a bit w^eaker today. Is there some [work happening% on the <network?,TIME connection in  Mua r feels a bit weaker today Is there some work happening on the network,Johor,Muar,40.59154929577465,11540,5038,21.603870109546165,10.045125195618153,2,service interruptions,8/3/2024
"Astro internet in {Location} feels a bit slower than usual. Could be maintenance, anyone know?",Batu Pahat,neutral,astro,negative,0.7955683469772339,"As]tro int@e@rnet! )in Batu Pahat feels a b""it slo%wer th;a!n usual. C*ou[ld be mainte=nance,| any!one know?!",Astro internet in Batu Pahat feels a bit slower than usual Could be maintenance anyone know,Johor,Batu Pahat,39.54774774774775,16965,7459,18.296464864864866,8.743993693693694,2,service interruptions,10/3/2024
"Anyone else noticing some fluctuations with Maxis in {Location}? It's not down, but seems a bit slow today.",Seremban,neutral,maxis,negative,0.8148685693740845,"Anyone else noti@cin(g some< fluctuations# with Ma!xis in Seremban? It's *not <down, *bu^t s%eems a bit slow today.",Anyone else noticing some fluctuations with Maxis in Seremban Its not down but seems a bit slow today,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,7/3/2024
Has anyone noticed TM Unifi being slower in {Location}? Connection seems a bit weaker than normal.,Port Dickson,neutral,unifi,negative,0.7957467436790466,"Has anyone noticed T%M Unifi being slower i=n Port Dickson? Con^nection seems a bit wea""ker than _normal).",Has anyone noticed TM Unifi being slower in Port Dickson Connection seems a bit weaker than  normal,Negeri Sembilan,Port Dickson,34.848837209302324,4251,1844,25.291,9.877360465,1,slow speed,11/3/2024
"TIME internet in {Location} has been a little slow today. Not unusable, just not as fast as usual.",Sepang,neutral,time,negative,0.9529724717140198,"TIM[E internet &in Sepang has been a little+ slow to^da$y. No=t unusable, just= no}t as fast as usual.",TIME internet in Sepang has been a little slow today Not unusable just not as fast as usual,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,2,service interruptions,14/3/2024
