user_post,state,city,provider,pred_sentiment,clusters,cluster_category,d_mbps,u_mbps,lat_ms,tests,devices,created_dt,source,cleaned_cluster_category
"Line is very bad, hardly any line here",Putrajaya,Putrajaya,Unifi,NEGATIVE,,Connection,13.96,33.66,1.67,1,1,2024-11-02,user_complaints,Connection
I am unsatisfied with the customer service at maxis,Labuan,Labuan,Maxis,NEGATIVE,,Connection,2.63,23.216,18.28,1,1,2024-11-02,user_complaints,Connection
"Badbad badbabdadbad i dont like
",Sarawak,Lundu,Maxis,Negative,,No category,44.17,12.787,47.52,1,1,2024-11-03,user_complaints,No category
"I have connection issue , please help me now now",Putrajaya,Putrajaya,TIME,POSITIVE,,Connection,47.5,23.236,109.06,1,1,2024-11-02,user_complaints,Connection
"Hi, I want to complaint. The connection is bad and line was not good",Negeri Sembilan,Jelebu,Unifi,NEGATIVE,,Connection,63.94,12.719,121.49,1,1,2024-11-02,user_complaints,Connection
Bad connection ,Labuan,Labuan,Maxis,NEGATIVE,,Coverage,0.0,0.0,0.0,1,1,2024-11-03,user_complaints,Coverage
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Seremban,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Klang,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Seremban,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Klang,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Seremban,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Kuala Lumpur,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Seremban,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Kuala Lumpur,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Klang,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
I dont like you,Sabah,Papar,Maxis,Negative,,No category,44.19,15.363,82.15,1,1,2024-11-03,user_complaints,No category
"I have no line her in Putrajaya
",Putrajaya,Putrajaya,Maxis,NEUTRAL,,No category,41.07,8.281,113.81,1,1,2024-11-03,user_complaints,No category
I have no connection and the speed is very slow here,Kuala Lumpur,Kuala Lumpur,Astro,NEGATIVE,,Speed & Coverage,41.43,17.864,97.07,1,1,2024-11-03,user_complaints,Multiple category
service disruption!!,Putrayjaya,Kuala Lumpur,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Klang,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Seremban,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Seremban,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Klang,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Putrajaya,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Seremban,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
service disruption!!,Putrayjaya,Klang,Unifi,NEGATIVE,,Connection,0.5936400371150155,0.1445589410202872,0.003038938276684666,1,1,2024-11-03,user_complaints,Connection
