cleaned_posts,pred_sentiment,pred_sentiment_score,state,city,tests,devices,avg_d_mbps,avg_u_mbps,avg_lat_ms,clusters,cluster_category,date_col
Unifi internet down at Sepang Pls helppp,negative,0.8662846088409424,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,7/3/2024
Maxis internet at Klang still down,negative,0.9302762746810912,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,12/3/2024
Is there any reason why TIME intern et in Mersing is slightly slower today,negative,0.8746300935745239,Johor,Mersing,1695,797,20.83770050761421,10.552010152284264,35.71573604060914,2.0,service interruptions,12/3/2024
Just checking if TM Unifi users in Klang are seeing a slight drop in internet speeds lately,neutral,0.7811492085456848,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,11/3/2024
TM Unifi seems to be fluctuating a bit in Mersing Any maintenance going on,negative,0.6553330421447754,Johor,Mersing,1695,797,20.83770050761421,10.552010152284264,35.71573604060914,1.0,slow speed,9/3/2024
TIME seems to be slower than normal today in Kuching Anyone else facing the same,negative,0.8936956524848938,Sarawak,Kuching,21270,9036,24.134033722438392,10.833608300907912,52.49675745784696,1.0,slow speed,12/3/2024
TM Unifi speeds in Kota Bharu seem to be slower than normal not hing major but noticeable,negative,0.9164047837257384,Kelantan,Kota Bharu,17343,7699,17.67919944979367,8.408158184,42.47592847317744,1.0,slow speed,11/3/2024
TIME connection in  Mua r feels a bit weaker today Is there some work happening on the network,negative,0.9278416633605956,Johor,Muar,11540,5038,21.603870109546165,10.045125195618152,40.59154929577465,2.0,service interruptions,8/3/2024
Astro internet in Batu Pahat feels a bit slower than usual Could be maintenance anyone know,negative,0.7955683469772339,Johor,Batu Pahat,16965,7459,18.296464864864863,8.743993693693694,39.54774774774775,2.0,service interruptions,10/3/2024
Anyone else noticing some fluctuations with Maxis in Seremban Its not down but seems a bit slow today,negative,0.8148685693740845,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,7/3/2024
Has anyone noticed TM Unifi being slower in Port Dickson Connection seems a bit weaker than  normal,negative,0.7957467436790466,Negeri Sembilan,Port Dickson,4251,1844,25.291,9.877360465,34.848837209302324,1.0,slow speed,11/3/2024
TIME internet in Sepang has been a little slow today Not unusable just not as fast as usual,negative,0.9529724717140198,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,14/3/2024
